altitude,windMPH,barometerTemp,windTemp,windVolts,timeFromStart
338.068,1.2941,19.625,19.9356,1.74668,0.390015
340.568,0.908549,19.75,20.3901,1.69592,1.15302
334.88,1.11773,19.6875,20.1009,1.72493,1.91699
336.005,2.02337,19.625,20.2662,1.81999,2.68103
336.38,1.02119,19.5625,20.4727,1.71204,3.44403
333.568,1.05073,19.5,20.6793,1.71606,4.20898
331.942,1.33566,19.5,20.6793,1.75151,4.97302
332.067,1.9958,19.5,20.6793,1.81758,5.73602
333.005,2.51035,19.375,20.7206,1.85947,6.5
332.63,2.91403,19.3125,20.3901,1.88848,7.26404
332.693,2.57487,19.25,20.3901,1.86431,8.02802
332.442,2.47851,19.1875,20.3488,1.85706,8.79199
332.442,2.59661,19.125,20.2248,1.86592,9.55603
332.38,2.33344,19.0625,20.1835,1.84578,10.319
332.192,2.06989,19.0625,20.3488,1.82402,11.081
332.38,2.61848,19.0625,20.0596,1.86753,11.845
332.255,1.96849,19.0,20.2248,1.81516,12.6089
332.38,2.16506,19.0,20.1835,1.83208,13.372
332.255,1.87044,18.9375,20.3488,1.8063,14.1359
332.568,1.83561,18.9375,20.2662,1.80308,14.9
332.568,1.9504,18.9375,20.3075,1.81355,15.663
332.88,2.22354,18.875,20.3901,1.83691,16.4269
332.88,2.07929,18.8125,20.1835,1.82483,17.191
333.13,2.02337,18.8125,20.2662,1.81999,17.954
333.38,2.11712,18.75,20.2248,1.82805,18.718
333.505,2.51035,18.75,20.0596,1.85947,19.482
333.442,2.89054,18.75,19.8943,1.88686,20.2449
333.505,2.62946,18.75,20.0183,1.86833,21.009
333.943,3.0213,18.6875,20.1835,1.89573,21.773
333.317,2.33344,18.6875,20.3488,1.84578,22.536
333.943,2.24326,18.6875,20.3488,1.83852,23.3
333.88,1.9504,18.625,20.1835,1.81355,24.064
333.943,1.88802,18.625,20.3488,1.80791,24.827
333.818,2.23337,18.625,20.3488,1.83772,25.591
333.568,1.93244,18.625,20.3075,1.81194,26.355
334.005,2.24326,18.5625,19.977,1.83852,27.118
333.88,2.16506,18.5625,20.2248,1.83208,27.882
333.505,2.06989,18.5,20.0596,1.82402,28.6459
333.505,2.0419,18.5,20.0183,1.82161,29.409
333.38,2.03263,18.4375,20.2662,1.8208,30.173
333.568,2.06989,18.5,20.3075,1.82402,30.937
333.505,1.83561,18.4375,20.3488,1.80308,31.7
333.63,1.94141,18.4375,20.0596,1.81274,32.4639
333.568,2.16506,18.4375,20.2248,1.83208,33.228
333.13,1.90571,18.4375,20.3901,1.80952,33.991
333.38,1.82697,18.4375,20.0596,1.80227,34.7549
333.63,1.61176,18.4375,20.4727,1.78132,35.519
333.13,1.56462,18.4375,20.3901,1.77649,36.282
333.568,1.76726,18.4375,20.638,1.79663,37.046
333.38,1.45822,18.4375,20.6793,1.76521,37.808
333.568,1.08693,18.4375,20.6793,1.7209,38.571
333.505,1.22016,18.4375,20.5967,1.73782,39.335
333.067,1.32171,18.4375,20.8446,1.7499,40.0989
333.38,1.09305,18.4375,20.762,1.7217,40.862
333.442,1.21358,18.4375,20.8859,1.73701,41.626
333.38,1.42143,18.4375,21.0099,1.76118,42.39
333.693,1.38526,18.4375,20.8446,1.75715,43.153
338.005,1.57241,18.4375,20.8446,1.77729,43.9169
338.505,1.95943,18.4375,20.7206,1.81435,44.681
340.13,1.88802,18.4375,20.9685,1.80791,45.444
341.63,3.14354,18.4375,20.8033,1.90378,46.2079
342.505,2.59661,18.375,20.5141,1.86592,46.972
343.005,2.43646,18.375,20.5554,1.85383,47.7349
342.88,2.30312,18.375,20.3488,1.84336,48.499
343.193,2.20393,18.375,20.4314,1.8353,49.263
343.318,2.07929,18.375,20.2248,1.82483,50.027
343.505,2.06989,18.3125,20.638,1.82402,50.79
343.63,1.87044,18.3125,20.1835,1.8063,51.554
343.443,2.22354,18.3125,20.1835,1.83691,52.3179
342.255,2.60753,18.25,20.5967,1.86672,53.081
342.255,2.06989,18.3125,20.5141,1.82402,53.845
341.318,1.67607,18.25,20.7206,1.78777,54.609
340.818,1.55686,18.25,20.638,1.77568,55.372
340.255,1.21358,18.25,20.8446,1.73701,56.1359
339.192,0.913972,18.25,21.0512,1.69673,56.9
338.442,0.414108,18.25,21.2164,1.60247,57.663
337.38,0.548299,18.25,21.3404,1.63308,58.4269
337.505,0.727247,18.25,21.2991,1.66692,59.191
337.63,0.704157,18.3125,21.2991,1.66289,59.954
335.442,0.583838,18.25,21.547,1.64033,60.718
336.38,0.865924,18.25,21.2578,1.68948,61.482
337.13,0.845117,18.25,21.547,1.68625,62.2449
337.068,0.708737,18.25,21.4643,1.6637,63.009
336.255,0.596016,18.25,21.4643,1.64275,63.773
336.192,0.457208,18.3125,21.4643,1.61294,64.5369
336.38,0.43696,18.3125,21.8362,1.6081,65.301
336.067,0.56786,18.375,21.6709,1.63711,66.065
336.255,0.690542,18.3125,21.6709,1.66047,66.8279
336.255,0.860685,18.375,21.9188,1.68867,67.592
336.13,1.05073,18.375,21.8362,1.71606,68.356
337.692,1.55686,18.375,21.9601,1.77568,69.1199
336.88,1.27365,18.375,21.547,1.74426,69.884
337.943,1.45082,18.375,21.7949,1.7644,70.648
338.068,2.58572,18.4375,21.7535,1.86511,71.411
337.567,1.84428,18.4375,21.5056,1.80388,72.175
337.88,1.35677,18.4375,21.5883,1.75393,72.939
337.13,1.02119,18.375,21.6296,1.71204,73.702
332.442,1.20703,18.375,22.0015,1.73621,74.466
332.192,1.20703,18.375,21.8775,1.73621,75.23
332.192,0.969415,18.375,21.7122,1.70478,75.993
332.067,0.727247,18.375,21.7949,1.66692,76.757
332.38,0.506859,18.375,21.7949,1.62422,77.5209
332.38,0.517946,18.375,22.0428,1.62664,78.284
332.255,0.633569,18.375,22.0841,1.65,79.048
332.255,0.65075,18.375,22.0428,1.65322,79.8119
332.067,0.876451,18.375,21.9188,1.69109,80.575
332.067,0.997958,18.375,22.0015,1.70881,81.3389
331.942,1.32868,18.375,21.8362,1.75071,82.103
332.317,1.40689,18.375,21.6296,1.75957,82.866
332.192,1.58808,18.375,21.5056,1.77891,83.6299
332.568,1.57241,18.3125,21.2991,1.77729,84.394
332.38,1.63568,18.375,21.2991,1.78374,85.157
332.568,1.74207,18.375,21.2578,1.79421,85.921
332.63,1.74207,18.3125,21.2578,1.79421,86.685
332.63,2.30312,18.3125,21.0925,1.84336,87.4479
332.755,2.24326,18.3125,20.9685,1.83852,88.212
337.38,1.90571,18.3125,21.0099,1.80952,88.976
337.818,2.10762,18.3125,20.8446,1.82725,89.739
337.755,1.54912,18.375,20.7206,1.77488,90.504
337.818,2.07929,18.375,20.638,1.82483,91.268
337.567,2.89054,18.375,20.3488,1.88686,92.0309
337.88,2.78641,18.3125,20.0183,1.87961,92.795
337.692,2.52104,18.3125,20.1835,1.86028,93.559
337.692,2.01416,18.375,19.7704,1.81919,94.322
