altitude,windMPH,barometerTemp,windTemp,windVolts,timeFromStart
338.317,-12.7265,18.8125,-4.85402,0.312598,0.388
337.818,-13.76,18.9375,-7.08509,0.286816,1.151
337.692,-11.956,18.9375,-3.65586,0.332739,1.914
337.567,-11.3918,19.0,-1.79663,0.348047,2.677
337.13,-16.102,19.0,-9.72932,0.232837,3.439
337.13,-18.2522,19.0,-13.9022,0.18772,4.202
337.068,-13.9263,19.0,-7.33299,0.282788,4.965
336.693,-10.9591,19.0,-1.83794,0.360132,5.727
337.005,-12.9798,19.0,-4.85402,0.306152,6.49
337.442,85.5603,19.0,20.7206,3.13564,7.253
338.068,6.44738,19.0,20.5554,2.06975,8.016
338.38,3.08201,19.0,20.5141,1.89976,8.779
337.818,1.61971,18.9375,20.5967,1.78213,9.542
337.068,1.66794,18.9375,20.4727,1.78696,10.304
334.255,1.20703,18.9375,20.638,1.73621,11.067
332.755,0.765229,18.9375,20.8033,1.67336,11.83
332.317,2.33344,18.9375,20.6793,1.84578,12.593
332.818,2.53174,18.9375,20.8859,1.86108,13.355
332.818,2.56404,18.875,20.6793,1.8635,14.118
333.317,3.73444,18.875,20.5554,1.94004,14.881
333.568,5.75408,18.8125,20.5967,2.04075,15.643
333.693,4.71219,18.75,20.3075,1.99241,16.406
333.693,3.70673,18.75,20.2662,1.93843,17.169
333.693,3.46343,18.6875,20.2662,1.92392,17.931
333.442,3.16836,18.625,19.977,1.9054,18.694
333.693,2.99723,18.625,19.9356,1.89412,19.457
332.568,3.33298,18.5625,19.853,1.91587,20.22
333.38,2.94949,18.5,19.7291,1.89089,20.982
333.943,3.29451,18.4375,19.8117,1.91345,21.745
333.192,2.9733,18.375,19.6877,1.8925,22.508
333.192,2.65151,18.375,19.7291,1.86995,23.271
334.005,2.32331,18.3125,19.6877,1.84497,24.034
334.005,2.11712,18.3125,19.7291,1.82805,24.798
334.255,2.86718,18.25,19.5638,1.88525,25.56
335.255,3.04548,18.1875,20.0596,1.89734,26.323
335.442,2.78641,18.125,19.8117,1.87961,27.084
335.567,2.46796,18.0625,19.6464,1.85625,27.846
335.255,2.51035,18.0,19.7704,1.85947,28.609
334.755,2.61848,18.0,19.8117,1.86753,29.372
334.818,1.9504,18.0,19.977,1.81355,30.135
334.38,3.23103,18.0,19.6464,1.90942,30.898
334.693,1.81836,17.9375,19.5225,1.80146,31.661
334.943,0.789628,17.9375,19.6877,1.67739,32.424
334.442,2.52104,17.9375,19.5225,1.86028,33.186
334.442,1.53371,17.9375,19.5638,1.77327,33.949
334.567,1.09918,17.9375,19.6464,1.72251,34.712
334.943,1.31477,17.9375,19.6464,1.7491,35.474
334.567,1.32868,17.9375,19.5225,1.75071,36.237
334.442,1.32171,17.9375,19.7291,1.7499,37.0
334.255,0.876451,17.9375,19.6464,1.69109,37.763
334.255,0.881749,17.9375,19.8943,1.69189,38.525
334.317,0.784705,17.9375,19.6877,1.67659,39.288
334.255,0.997958,17.9375,19.5225,1.70881,40.051
334.38,0.887062,17.9375,19.6877,1.6927,40.813
334.13,0.845117,17.875,19.6877,1.68625,41.576
334.192,0.871177,17.9375,19.6877,1.69028,42.339
334.192,1.12395,17.875,19.2746,1.72573,43.101
333.755,0.997958,17.875,19.3159,1.70881,43.864
338.567,1.26688,17.9375,19.3985,1.74346,44.627
339.13,2.51035,17.9375,19.6877,1.85947,45.389
340.693,3.18083,17.9375,19.9356,1.9062,46.153
341.255,1.65984,17.9375,20.1422,1.78616,46.916
341.38,1.19399,17.9375,20.1422,1.73459,47.679
342.193,1.48061,17.9375,20.0596,1.76763,48.441
342.318,1.54912,17.9375,19.6877,1.77488,49.204
342.068,1.34971,17.9375,19.3985,1.75312,49.968
342.755,1.44343,17.9375,19.8117,1.7636,50.73
342.505,1.00953,17.9375,19.977,1.71042,51.493
342.005,0.865924,17.9375,19.9356,1.68948,52.256
341.13,1.11152,17.9375,19.853,1.72412,53.018
342.068,1.01535,17.9375,19.7704,1.71123,53.781
342.13,0.464094,17.9375,19.6877,1.61455,54.544
341.505,1.22016,17.9375,19.8117,1.73782,55.306
341.818,0.794571,17.875,19.5225,1.6782,56.069
341.755,0.646424,17.875,19.5638,1.65242,56.832
341.068,0.457208,17.875,19.7291,1.61294,57.595
340.88,1.02706,17.8125,19.5638,1.71284,58.357
340.38,1.00953,17.8125,19.6051,1.71042,59.12
339.692,1.69241,17.8125,19.4812,1.78938,59.883
339.068,1.75883,17.875,19.3985,1.79582,60.645
339.38,1.9504,17.875,19.3985,1.81355,61.408
339.692,1.49565,17.875,19.2746,1.76924,62.171
338.943,1.58808,17.8125,19.2333,1.77891,62.933
339.255,1.60384,17.8125,19.3159,1.78052,63.696
339.88,1.11773,17.8125,19.1506,1.72493,64.459
338.755,1.20703,17.8125,19.068,1.73621,65.221
339.38,1.75883,17.8125,19.0267,1.79582,65.984
338.943,2.15542,17.8125,18.9441,1.83127,66.747
339.192,1.85297,17.8125,19.068,1.80469,67.51
338.755,1.26014,17.8125,19.068,1.74265,68.273
338.943,0.992207,17.8125,18.9854,1.70801,69.036
339.442,1.5108,17.875,19.068,1.77085,69.799
338.255,2.27306,17.8125,19.2746,1.84094,70.561
338.192,1.62768,17.8125,18.8614,1.78293,71.324
338.13,1.73373,17.8125,19.1919,1.79341,72.087
338.505,3.05762,17.8125,19.1919,1.89814,72.849
338.755,3.34588,17.8125,19.1506,1.91667,73.612
338.943,3.51656,17.8125,19.1506,1.92715,74.375
339.068,3.37177,17.75,19.0267,1.91829,75.138
338.755,4.0485,17.8125,18.9441,1.95776,75.9
338.068,3.77628,17.8125,18.9854,1.94246,76.663
338.88,3.08201,17.75,19.0267,1.89976,77.426
338.755,2.21371,17.75,18.9027,1.83611,78.188
338.068,1.82697,17.75,18.7375,1.80227,78.951
339.442,1.69241,17.6875,18.6548,1.78938,79.714
